	facts
162	I own a car, I am a girl, I love dogs, My favorite color is blue, I love sushi, Currently , i m saving up to get some procedures done, I love her though, I don t think my girlfriend understands, I hope to one day be happy with myself
163	I own a cat, I like tacos, I love folk metal, I watch a movie sundays evenings, I talk in my sleep, I work at a factory, I enjoy jazz music, I broke my nose when i was ten, I ride my bicycle everywhere
164	I own a cat, I love folk metal, I like tacos, I talk in my sleep, I have been married 3 times, I have a gun collection at home, I drive a ford truck, I hate the holidays, I am a police officer
165	I own a cat, I talk in my sleep, I love folk metal, I like tacos, My favorite color is blue, I enjoy home cooked meals, My favorite music genre is pop, I like long walks on the beach, My favorite tv show is game of thrones
166	I own a cat, I watch a movie sundays evenings, I talk in my sleep, I like tacos, I love folk metal, I am an artist, I just bought new hoop earrings, I have a cat named charlie, My favorite food is pizza, I love nighttime
167	I play bass, I have a french bulldog, I love the band red hot chili peppers, My feet are size six women s, My sister is becoming my mother and often asks me when i m getting married, I am not a big fan of waiting in line, I often think about quitting my job and becoming a roadie for justin bieber, I own five pairs of the same pants
168	I play bass, My feet are size six womens, I love the band red hot chili peppers, I want to be a journalist but instead i sell washers at sears, I have a french bulldog, I love to travel, I am a college student, I work as a construction worker during the summers, My parents are divorced
169	I play bass, My feet are size six women s, I have a french bulldog, I want to be a journalist but instead i sell washers at sears, I have a cat named felix and a small terrer names emmy, My children are mostly grown, I like to cook, I like gardening
170	I run track, I take medication, I wear glasses all day, I swim often, I love video games, I am a vegan, I love animals, I am going back to school, I enjoy reading
171	I run track, I love video games, I take medication, I swim often, I wear glasses all day, I love the beach, I work part time at a pizza restaurant, I like to party, I am in college
172	I run track, I wear glasses all day, I take medication, I love video games, In the evenings i watch the door at a club where they play punkrock, I like dr pepper and black jack gum , but not together, I work in a corner grocery store during the day, My favorite show is scobby doo
173	My cat died, I have a dog named percy, My poppa has a train set that i play with, I like books about trains, I like thomas the tank engine, I paint with watercolors, I hate cleaning, My favorite color is blue, I work in finance, I am italian american
174	My cat died, I like books about trains, I like thomas the tank engine, My poppa has a train set that i play with, I am from russia, My favorite music is rock and roll, I go to school for business, I enjoy skiing, I love to travel
175	I am a baker, I like to play tennis, My favorite tv show is silicon valley, My mother is a dentist, I have 2 sisters, My favorite past time is cooking, I ca sim very fast, I love to sing, I love to run, I have a lot of trophies from my childhood
176	I am a baker, My favorite tv show is silicon valley, I like to play tennis, My mother is a dentist, I have 2 sisters, I have my own salon, My hair is colored purple, I am a hair stylist, I live on a boat, I got married last year
177	I am a baker, My favorite tv show is silicon valley, I like to play tennis, My mother is a dentist, I have 2 sisters, I like to build furniture, I clean houses for extra money, I have been held hostage in a store robbery situation, My father is a retired police officer
178	I am a nurse, I surf often, I married my high school sweetheart, I was an army brat, I am still a student , but i am gonna be a nurse, I am the lead singer for an indie band, My horse never talks back to me, I enjoy budweiser beer, I live in the city
179	I am a nurse, I am a great baker, I surf often, I was an army brat, I am getting married next week, We are getting married in a park, We will be traveling to niagra falls for our honeymoon, My dog is the ring bearer, My family hates my fiancé
180	I am a nurse, I am a great baker, I surf often, I was an army brat, I married my high school sweetheart, My daughter just graduated college, I run more then 2 miles a day even though i hate it, I have only one child, I have been in 3 triathlons, I like snowboarding
181	I am a nurse, I was an army brat, I married my high school sweetheart, I surf often, I am a great baker, I am a social butterfly, I like to swim, I am in college, I exercise everyday, I eat large meals
182	I am a nurse, I work in the emergency room, I enjoy reading, I am divorced, My favorite drink is dr pepper, I went to an elite ivy league school, I look down on people who did not, I work in finance, I believe the rich should not be taxed as much, I eat out more than three times a week
183	I am a nurse, My favorite drink is dr pepper, I am divorced, I enjoy reading, I work in the emergency room, I am short, I like reading, I have big face cheeks, I am also round, I am smart too
184	I am a pilot, I am afraid of spiders, I have 2 beagles named chance and boomer, Both of my parents are in the military, My girlfriend lives in salt lake city, I am a nurse and work in an emergency room at a busy hospital, I paddle board on my days off, I am buying a house, I play the piano
